Date,Site ID,POC,Daily Mean PM2.5 Concentration,Units,Daily AQI Value,Local Site Name,County FIPS Code,County,Site Latitude,Site Longitude
02/22/2025,260990009,1,14.4,ug/m3 LC,61,New Haven,99,Macomb,42.73139412,-82.79346283
02/23/2025,260990009,1,17.6,ug/m3 LC,67,New Haven,99,Macomb,42.73139412,-82.79346283
02/24/2025,260990009,1,14.3,ug/m3 LC,61,New Haven,99,Macomb,42.73139412,-82.79346283
02/25/2025,260990009,1,7.5,ug/m3 LC,42,New Haven,99,Macomb,42.73139412,-82.79346283
02/26/2025,260990009,1,8,ug/m3 LC,44,New Haven,99,Macomb,42.73139412,-82.79346283
02/27/2025,260990009,1,10.7,ug/m3 LC,54,New Haven,99,Macomb,42.73139412,-82.79346283
02/28/2025,260990009,1,4.2,ug/m3 LC,23,New Haven,99,Macomb,42.73139412,-82.79346283
03/01/2025,260990009,1,2.5,ug/m3 LC,14,New Haven,99,Macomb,42.73139412,-82.79346283
03/02/2025,260990009,1,3.4,ug/m3 LC,19,New Haven,99,Macomb,42.73139412,-82.79346283
03/03/2025,260990009,1,9.4,ug/m3 LC,52,New Haven,99,Macomb,42.73139412,-82.79346283
03/04/2025,260990009,1,8.3,ug/m3 LC,46,New Haven,99,Macomb,42.73139412,-82.79346283
03/05/2025,260990009,1,4.9,ug/m3 LC,27,New Haven,99,Macomb,42.73139412,-82.79346283
03/06/2025,260990009,1,1.5,ug/m3 LC,8,New Haven,99,Macomb,42.73139412,-82.79346283
03/07/2025,260990009,1,5.1,ug/m3 LC,28,New Haven,99,Macomb,42.73139412,-82.79346283
03/08/2025,260990009,1,3,ug/m3 LC,17,New Haven,99,Macomb,42.73139412,-82.79346283
03/09/2025,260990009,1,4.5,ug/m3 LC,25,New Haven,99,Macomb,42.73139412,-82.79346283
03/10/2025,260990009,1,6.6,ug/m3 LC,37,New Haven,99,Macomb,42.73139412,-82.79346283
03/11/2025,260990009,1,4.5,ug/m3 LC,25,New Haven,99,Macomb,42.73139412,-82.79346283
03/12/2025,260990009,1,3.5,ug/m3 LC,19,New Haven,99,Macomb,42.73139412,-82.79346283
03/13/2025,260990009,1,7.6,ug/m3 LC,42,New Haven,99,Macomb,42.73139412,-82.79346283
03/14/2025,260990009,1,12.5,ug/m3 LC,57,New Haven,99,Macomb,42.73139412,-82.79346283
03/15/2025,260990009,1,9.2,ug/m3 LC,51,New Haven,99,Macomb,42.73139412,-82.79346283
03/16/2025,260990009,1,3.7,ug/m3 LC,21,New Haven,99,Macomb,42.73139412,-82.79346283
03/17/2025,260990009,1,3,ug/m3 LC,17,New Haven,99,Macomb,42.73139412,-82.79346283
03/18/2025,260990009,1,5.6,ug/m3 LC,31,New Haven,99,Macomb,42.73139412,-82.79346283
03/19/2025,260990009,1,7.9,ug/m3 LC,44,New Haven,99,Macomb,42.73139412,-82.79346283
03/20/2025,260990009,1,3.6,ug/m3 LC,20,New Haven,99,Macomb,42.73139412,-82.79346283
03/21/2025,260990009,1,4.9,ug/m3 LC,27,New Haven,99,Macomb,42.73139412,-82.79346283
03/22/2025,260990009,1,2.9,ug/m3 LC,16,New Haven,99,Macomb,42.73139412,-82.79346283
03/23/2025,260990009,1,3.6,ug/m3 LC,20,New Haven,99,Macomb,42.73139412,-82.79346283
03/24/2025,260990009,1,4.1,ug/m3 LC,23,New Haven,99,Macomb,42.73139412,-82.79346283
03/25/2025,260990009,1,2.8,ug/m3 LC,16,New Haven,99,Macomb,42.73139412,-82.79346283
03/26/2025,260990009,1,3.4,ug/m3 LC,19,New Haven,99,Macomb,42.73139412,-82.79346283
03/27/2025,260990009,1,7.5,ug/m3 LC,42,New Haven,99,Macomb,42.73139412,-82.79346283
03/28/2025,260990009,1,10.9,ug/m3 LC,54,New Haven,99,Macomb,42.73139412,-82.79346283
03/29/2025,260990009,1,14,ug/m3 LC,60,New Haven,99,Macomb,42.73139412,-82.79346283
03/30/2025,260990009,1,8.1,ug/m3 LC,45,New Haven,99,Macomb,42.73139412,-82.79346283
03/31/2025,260990009,1,3.1,ug/m3 LC,17,New Haven,99,Macomb,42.73139412,-82.79346283
04/01/2025,260990009,1,2.7,ug/m3 LC,15,New Haven,99,Macomb,42.73139412,-82.79346283
04/02/2025,260990009,1,4,ug/m3 LC,22,New Haven,99,Macomb,42.73139412,-82.79346283
04/03/2025,260990009,1,3.4,ug/m3 LC,19,New Haven,99,Macomb,42.73139412,-82.79346283
04/04/2025,260990009,1,3.2,ug/m3 LC,18,New Haven,99,Macomb,42.73139412,-82.79346283
04/05/2025,260990009,1,3.9,ug/m3 LC,22,New Haven,99,Macomb,42.73139412,-82.79346283
01/01/2025,261250001,1,2.9,ug/m3 LC,16,Oak Park,125,Oakland,42.46306341,-83.18319868
